episode,step,total_steps,reward,action_0,action_1,value,logprob,agent_id,done
0,0,0,0.0,-0.29179227,0.5237641,[0.02507387],[-2.0835602],0,False
0,0,0,0.0,0.9065087,-0.4896525,[0.03665603],[-2.2750044],1,False
0,0,0,0.0,1.5803604,-0.45887607,[0.05432596],[-3.0576472],2,False
0,0,0,0.0,-0.2537269,-2.1807625,[0.02185495],[-4.094908],3,False
0,0,0,0.0,-0.11673835,-0.5599541,[0.04882633],[-1.9607546],4,False
0,0,0,0.0,0.46400493,0.28257346,[0.04790552],[-1.9875534],5,False
0,0,0,0.0,0.5609343,-0.9221606,[0.03396083],[-2.307256],6,False
0,0,0,0.0,0.40932223,-0.92415655,[0.01827827],[-2.252843],7,False
0,0,0,0.0,-1.0809492,0.68684095,[0.01824851],[-2.7965379],8,False
0,0,0,0.0,-0.16093358,-1.6869059,[0.02242372],[-3.1283567],9,False
0,0,0,0.0,0.90292937,-0.7042012,[0.01665401],[-2.3716974],10,False
0,0,0,0.0,-0.20487294,0.3466418,[0.01827827],[-1.9636335],11,False
0,1,1,0.0029754639,-0.7391422,-0.5926434,[0.03898595],[-2.2827914],0,False
0,1,1,0.75,-0.075617254,0.10205114,[0.0355024],[-1.8671887],1,False
0,1,1,3.0,0.78951365,0.5213682,[0.07256729],[-2.2661734],2,False
0,1,1,-2.25,-0.32172397,-0.2208955,[0.04988706],[-1.9242558],3,False
0,1,1,0.0,0.81746453,-0.54655707,[0.07434536],[-2.2282019],4,False
0,1,1,0.0029754639,-0.9212504,0.27691907,[0.05356314],[-2.390074],5,False
0,1,1,0.75,-0.3767936,0.9180673,[0.0596598],[-2.456233],6,False
0,1,1,0.75,-0.6594162,0.03901285,[0.02575042],[-2.1071274],7,False
0,1,1,0.0029754639,-0.15770698,1.4535111,[0.04190329],[-3.0322492],8,False
0,1,1,0.0,-1.1733581,-0.4290055,[0.03400564],[-2.6611395],9,False
0,1,1,0.0,-1.3339355,0.77969825,[0.03377366],[-3.1945605],10,False
0,1,1,-2.2470627,-0.74966127,-1.4169114,[0.03023016],[-3.0205493],11,False
0,2,2,0.01083374,-0.7259389,-0.08103403,[0.05771401],[-2.1440182],0,False
0,2,2,0.45305178,-2.6137106,0.27370834,[0.06191935],[-5.485772],1,False
0,2,2,2.5528994,0.089414164,-0.8219857,[0.08143499],[-2.11392],2,False
0,2,2,-2.25,-0.31668955,-0.80070627,[0.06243129],[-2.1766],3,False
0,2,2,0.0,1.9953533,0.11382769,[0.07784692],[-3.7131991],4,False
0,2,2,0.015029907,-0.39154044,-1.1567199,[0.08864478],[-2.4844856],5,False
0,2,2,0.30297548,-1.4723959,-1.8794154,[0.07641761],[-4.60256],6,False
0,2,2,-1.0470246,-1.8783417,1.6582057,[0.04659847],[-5.241521],7,False
0,2,2,0.015029907,-1.2585896,0.48486903,[0.03965452],[-2.8667154],8,False
0,2,2,0.0,-0.5219724,-1.5854859,[0.0571081],[-3.1272566],9,False
0,2,2,0.0030136108,-0.15390949,-1.207204,[0.05597555],[-2.4925513],10,False
0,2,2,-2.5392046,-0.5438453,0.9691233,[0.04791524],[-2.5772057],11,False
0,3,3,0.0064086914,-0.12985745,-0.15960164,[0.05759218],[-1.8591776],0,False
0,3,3,-2.2350464,-0.06323914,0.6687547,[0.07612427],[-2.1365452],1,False
0,3,3,2.2608337,-0.061460204,-2.339728,[0.08892203],[-4.394535],2,False
0,3,3,-2.25,0.2998919,-1.8417327,[0.06239605],[-3.4051964],3,False
0,3,3,0.0030136108,-0.24530241,-0.6376237,[0.07592059],[-2.033525],4,False
0,3,3,0.02319336,0.27750722,-0.31648085,[0.08171501],[-1.8866735],5,False
0,3,3,0.010757446,-1.9305702,-0.33047202,[0.0817579],[-3.8807101],6,False
0,3,3,-2.2350464,-1.0279131,0.19668615,[0.0505835],[-2.4666474],7,False
0,3,3,0.027542114,-0.10446538,1.2718585,[0.05086489],[-2.7652993],8,False
0,3,3,0.0,0.8631632,-0.058076657,[0.05065964],[-2.1550264],9,False
0,3,3,0.010795593,0.8353435,-0.18155205,[0.04607252],[-2.1383996],10,False
0,3,3,-2.2394333,-2.4262285,0.0023389235,[0.04491717],[-4.942133],11,False
0,4,4,0.001449585,-0.17198394,-0.06346426,[0.04841549],[-1.8658441],0,False
0,4,4,-2.2226105,0.11757449,0.5126169,[0.06158803],[-2.0165727],1,False
0,4,4,-2.9935913,-0.1799961,-1.3812594,[0.09120145],[-2.6953309],2,False
0,4,4,3.0,-0.11942813,0.19716153,[0.05691428],[-1.895606],3,False
0,4,4,0.010795593,1.2562764,-0.4841235,[0.08883702],[-2.6306045],4,False
0,4,4,0.01876831,1.4361615,1.0175675,[0.07078224],[-3.3801205],5,False
0,4,4,0.0064086914,-0.7728132,-0.50075364,[0.08175827],[-2.259449],6,False
0,4,4,-2.2225342,0.9699413,-1.0457575,[0.05058886],[-2.714478],7,False
0,4,4,0.039901733,0.93135804,0.007383302,[0.03912379],[-2.2162156],8,False
0,4,4,0.0,-0.92763305,0.9964752,[0.04076114],[-2.9193466],9,False
0,4,4,0.0064468384,-0.2943376,-0.47634345,[0.0418721],[-1.9867476],10,False
0,4,4,-2.231842,0.9262927,-0.049847182,[0.05057838],[-2.2147088],11,False
0,5,5,0.0,-0.021134496,-1.1072631,[0.04897327],[-2.3364234],0,False
0,5,5,3.039978,-0.49062574,0.34866318,[0.05926122],[-2.0803483],1,False
0,5,5,-2.2486267,-0.41986465,-0.91018486,[0.09281866],[-2.2999368],2,False
0,5,5,-2.2469864,0.31767237,0.9878706,[0.06042823],[-2.4361253],3,False
0,5,5,0.0064468384,-0.66673994,0.56956106,[0.07588223],[-2.3277588],4,False
0,5,5,0.017852783,-0.43915597,-0.4054745,[0.06265869],[-2.0102441],5,False
0,5,5,0.7515259,-0.15244876,-2.9451354,[0.07955647],[-5.9341254],6,False
0,5,5,3.0357056,2.012667,0.5281646,[0.03641692],[-3.9422107],7,False
0,5,5,0.048217773,-0.8937552,-0.77908367,[0.03520801],[-2.5222542],8,False
0,5,5,0.0029754639,0.19968578,1.51715,[0.05594872],[-3.1370578],9,False
